Tanggal,Menit,Jam,Arus (A),Tegangan (V),Intensitas,Daya (W)
13,0,10:00,0.29,19.5,984.6,5.655
13,5,10:05,0.3,19.1,827.8,5.73
13,10,10:10,0.29,19.5,991.2,5.655
13,15,10:15,0.31,17.5,274.5,5.425
13,20,10:20,0.3,19.34,1036.3,5.802
13,25,10:25,0.29,19.19,1050.7,5.5651
13,30,10:30,0.29,19.12,1021.3,5.5448
13,35,10:35,0.3,18.93,1039.5,5.679
13,40,10:40,0.3,18.88,1055.6,5.664
13,45,10:45,0.3,18.89,1055.2,5.667
13,50,10:50,0.3,18.96,1066.7,5.688
13,55,10:55,0.3,18.91,1071.1,5.673
13,60,11:00,0.3,18.98,1087.3,5.694
13,65,11:05,0.3,18.96,1070.1,5.688
13,70,11:10,0.3,18.86,1094,5.658
13,75,11:15,0.3,18.85,1115.2,5.655
13,80,11:20,0.3,18.78,1079.1,5.634
13,85,11:25,0.32,17.02,274.5,5.4464
13,90,11:30,0.3,19.27,1150.1,5.781
13,95,11:35,0.3,19.15,1183,5.745
13,100,11:40,0.3,19.09,1115.5,5.727
13,105,11:45,0.33,16.45,194.2,5.4285
13,110,11:50,0.31,17.7,248.6,5.487
14,0,10:20,0.26,19.1,926.8,4.966
14,5,10:25,0.26,18.8,938.4,4.888
14,10,10:30,0.26,18.6,956.1,4.836
14,15,10:35,0.26,18.6,963.1,4.836
14,20,10:40,0.26,18.5,1006.1,4.81
14,25,10:45,0.26,18.67,1018.3,4.8542
14,30,10:50,0.27,18.38,703.2,4.9626
14,35,10:55,0.28,17.35,255.7,4.858
14,40,11:00,0.26,19.49,1031,5.0674
14,45,11:05,0.26,19.01,1058.8,4.9426
14,50,11:10,0.28,17.38,359,4.8664
14,55,11:15,0.27,17.98,330,4.8546
14,60,11:20,0.26,19.18,984.5,4.9868
14,65,11:25,0.26,18.86,993.5,4.9036
14,70,11:30,0.26,18.82,1098.9,4.8932
14,75,11:35,0.28,17.18,335,4.8104
14,80,11:40,0.26,18.89,1019.5,4.9114
14,85,11:45,0.26,18.8,1069.3,4.888
14,90,11:50,0.26,18.45,988.9,4.797
14,95,11:55,0.26,18.84,991.9,4.8984
16,0,07:30,0.28,19.93,389.5,5.5804
16,5,07:35,0.28,19.67,418,5.5076
16,10,07:40,0.29,19.47,437.8,5.6463
16,15,07:45,0.29,19.25,474.1,5.5825
16,20,07:50,0.29,19.27,511.7,5.5883
16,25,07:55,0.29,19.32,515,5.6028
16,30,08:00,0.29,19.22,545.8,5.5738
16,35,08:05,0.29,19.09,560.3,5.5361
16,40,08:10,0.29,19.15,593.4,5.5535
16,45,08:15,0.3,18.85,605.7,5.655
16,50,08:20,0.3,18.95,623.5,5.685
16,55,08:25,0.3,18.83,648.7,5.649
16,60,08:30,0.3,18.79,670.4,5.637
